;location;database;code;name;reference product;unit;Total (kg);Total (m3);Hazardous (kg);Hazardous (m3);ecosystem quality;human health;natural resources;log parameters;emptied;parameters full
060e1379847cb37f50e22a467850dde7;GLO;SSP5-Base-2020;060e1379847cb37f50e22a467850dde7;market for charger, for electric scooter;charger, for electric scooter;kilogram;11.816888268114793;0.266274905986793;0.3931782305416435;1.197571713710346e-06;1.3755898065083884e-07;9.585806568853369e-05;1.707966687008092;;;
144a8b0d13ced3b2c6974045fa91eaa5;GLO;SSP5-Base-2020;144a8b0d13ced3b2c6974045fa91eaa5;market for uranium, enriched 3.0%, per separative work unit;uranium, enriched 3.0%, per separative work unit;unit;140.05568138133594;0.6885902747236974;0.42478506037939645;0.012941608293111875;2.278217335423654e-06;0.0038380356436436194;46.54675831135887;;;
efacd80b24db5451adfa73b0b1b6d0e1;GLO;SSP5-Base-2020;efacd80b24db5451adfa73b0b1b6d0e1;market for borax, anhydrous, powder;borax, anhydrous, powder;kilogram;0.667432628255882;0.00892505864015268;0.002689394856381903;4.1330694623571696e-08;8.779962576036352e-09;3.746431919953151e-06;0.20438704758649257;;;
856e61df08151a0ade129c99b8e63b94;GLO;SSP5-Base-2020;856e61df08151a0ade129c99b8e63b94;market for indium;indium;kilogram;50.77540339253874;0.331774610346693;2.614668229266507;9.060304602422832e-06;8.055594987005204e-07;0.0012988303091062555;9.488119834178253;;;
2438d970ebdcda02e9d9407abc812745;GLO;SSP5-Base-2020;2438d970ebdcda02e9d9407abc812745;market for heat and power co-generation unit, 200kW electrical, components for heat only;heat and power co-generation unit, 200kW electrical, components for heat only;unit;11782.020556867394;154.4982395214787;29.161984324563427;0.00047709038595457765;9.065757753610933e-05;0.08266007050031449;2000.329324707429;;;
eede68407c639b365a7933b8d9542a55;GLO;SSP5-Base-2020;eede68407c639b365a7933b8d9542a55;market for dried roughage store, cold-air dried, conventional;dried roughage store, cold-air dried, conventional;cubic meter;1409.1643933517423;0.20415720319540737;0.217024889311542;1.5141820591424759e-06;1.7563818713612858e-06;0.000660059539050884;7.175552021394762;;;
adf2ea43cb0ec0692d688a9c23e26505;GLO;SSP5-Base-2020;adf2ea43cb0ec0692d688a9c23e26505;market for liquid storage tank, chemicals, organics;liquid storage tank, chemicals, organics;unit;14653517.013489911;9891.164843248294;2635.430538833506;0.01728108771537821;0.007843769230397552;7.23317688415587;192416.79992940553;;;
f3ee31a9ae0b31caa8f4bdb3c0e410ed;RoW;SSP5-Base-2020;f3ee31a9ae0b31caa8f4bdb3c0e410ed;market for diethyl ether, without water, in 99.95% solution state;diethyl ether, without water, in 99.95% solution state;kilogram;3.0920642331269788;0.09712872539979263;0.01435566266811873;1.498178374565399e-07;3.124380621675683e-08;1.7249003495689805e-05;1.0369825827119448;;;
5a52a1c5d59aaeff01a5b3923eae40ad;GLO;SSP5-Base-2020;5a52a1c5d59aaeff01a5b3923eae40ad;market for bulk lead-zinc concentrate;bulk lead-zinc concentrate;kilogram;0.3680754336003933;0.0008104990155995129;0.008928286307757468;1.938853932979264e-08;5.767875873251988e-09;1.7265028602077427e-05;0.07812719575450422;;;
2d43cda80e788dec50a7901210a1686b;GLO;SSP5-Base-2020;2d43cda80e788dec50a7901210a1686b;market for seed-cotton, organic;seed-cotton, organic;kilogram;0.07039238902322004;3.1674134941218215e-05;6.168307205158346e-05;1.9251257042616615e-10;6.94822246252687e-08;1.0870498814686993e-06;0.0025561354548715486;;;
