X (waste),Y (impact),n,r,p,R2,b,a,k_backtransform
Silicon,Natural Resources,1601,0.7701742936239636,1.3809321904e-314,0.5931684425591713,0.7414958553272953,6.57906889501242,719.8687437271578
Selenium,Ecosystem Quality,1601,0.6573345360310681,1.0692475299755441e-198,0.4320886922591798,0.4920020548358031,0.3191535912467156,1.3759626444952064
Selenium,Human Health,1599,0.6691127814384994,3.923529770415762e-208,0.44771191428436474,0.5643993793733897,8.049282420564621,3131.547031096418
Selenium,Natural Resources,1601,0.5965953687154463,5.860122220269068e-155,0.3559260339727196,0.5374436644235637,17.823996979474316,55063464.58306237
Sand,Ecosystem Quality,1601,0.7590393226305957,2.4168638922744916e-300,0.5761406932995139,0.6763752296455964,-13.944828936662454,8.786941635025684e-07
Sand,Human Health,1599,0.8370379466440871,0.0,0.70063252412215,0.8405053772043698,-8.567715895369048,0.00019014646860900734
Sand,Natural Resources,1601,0.7775782039643325,0.0,0.604627863280397,0.8339501695967954,1.8692609002532152,6.483502672800171
Rhodium,Ecosystem Quality,1601,0.7818728105645544,0.0,0.6113250919001156,0.6970300302226158,4.966475440937982,143.5201496379762
Rhodium,Human Health,1599,0.795138976170245,0.0,0.6322459914250653,0.7982372543224987,13.349847874333577,627718.9882297418
Rhodium,Natural Resources,1601,0.7160807134955159,6.122750841953038e-252,0.5127715882402473,0.7683338358745145,23.06207043260185,10368834201.837776
Rare Earth,Ecosystem Quality,1601,0.7348382659377427,6.576808896280962e-272,0.5399872770863886,0.49178162440951406,-9.090168803241447,0.00011276903113829725
Rare Earth,Human Health,1599,0.7956533114369151,0.0,0.6330641920005287,0.5997733546521683,-2.5848109024459913,0.07541033816344933
Rare Earth,Natural Resources,1601,0.8140645681295547,0.0,0.6627011210839584,0.6557102763078997,8.075677631934553,3215.3054242767084
Platinum,Ecosystem Quality,1601,0.838592668089143,0.0,0.7032376629728672,0.7676855112201463,-9.438788222184678,7.957677952470265e-05
Platinum,Human Health,1599,0.8808465026870924,0.0,0.7758905612960814,0.9084268207328252,-3.077677249972537,0.0460661325886827
Platinum,Natural Resources,1601,0.7883291591330105,0.0,0.6214628631393593,0.8685853053698408,7.237129965134779,1390.098608721518
Phosphate Rock,Ecosystem Quality,1601,0.7317582684523462,1.6320350920486193e-268,0.5354701634483755,0.5208029662850616,-11.471896953080764,1.0418818111410313e-05
Phosphate Rock,Human Health,1599,0.6768120165498451,1.0475803657115336e-214,0.45807450574626785,0.5426048299849323,-5.4554661101213195,0.004272884682682115
Phosphate Rock,Natural Resources,1601,0.5270795202456212,3.697124121627602e-115,0.27781282066235424,0.45149667521433606,4.984972650177308,146.19957643898385
Petroleum,Ecosystem Quality,1601,0.8211329231942487,0.0,0.674259277553532,0.7861023322110556,-14.586550613282922,4.625317594442379e-07
Petroleum,Human Health,1599,0.8559195309607137,0.0,0.7325982434800078,0.9230597426735486,-9.138966105665267,0.00010739831063537046
Petroleum,Natural Resources,1601,0.8273645511248984,0.0,0.6845321004581046,0.953312159625147,1.1448374217886248,3.1419305058717635
Palladium,Ecosystem Quality,1601,0.7687159171074492,1.12500952496e-312,0.5909241612143471,0.6092194652941093,-3.541497984642283,0.02896989809990172
Palladium,Human Health,1599,0.8460915416188548,0.0,0.7158708967989702,0.7555358739099746,4.340928144773505,76.77876809020441
Palladium,Natural Resources,1601,0.7899973022480125,0.0,0.6240957375591378,0.7535396506909522,14.726656177798308,2487170.253444032
Natural Gas,Ecosystem Quality,1601,0.7489867573169143,3.895331440146637e-288,0.5609811626361062,0.5890473082813729,-13.896887614399537,9.218460379253079e-07
Natural Gas,Human Health,1599,0.8185612471484506,0.0,0.6700425153332271,0.7254080996650195,-8.478869318352471,0.00020781354088588306
Natural Gas,Natural Resources,1601,0.8257614436350054,0.0,0.6818819617941683,0.7816336385907949,1.683366662087432,5.383650426856168
Magnesium,Ecosystem Quality,1601,0.76596369233793,4.1631574814798e-309,0.5867003779799551,0.6307410128465621,-10.252583947229818,3.526625686961803e-05
Magnesium,Human Health,1599,0.8365244156836408,0.0,0.6997730980348572,0.7759098745362694,-3.989828909171953,0.01850287952200456
Magnesium,Natural Resources,1601,0.772012486709914,5.143072e-317,0.5960032796360253,0.765138078203493,6.401055493193178,602.4806165783966
Lithium,Ecosystem Quality,1601,0.7587131808087161,6.147515674479422e-300,0.5756456907328795,0.6974001324307474,-9.748879094820655,5.8360043156596024e-05
Lithium,Human Health,1599,0.7701371736807358,3.80000201e-314,0.5931112662849517,0.7973116917373989,-3.5055312685872084,0.03003081467689308
Lithium,Natural Resources,1601,0.7299126638818022,1.676466054258555e-266,0.5327724968950289,0.8075099811496982,6.927043365770615,1019.4753036824748
Lead,Ecosystem Quality,1601,0.8037028133226488,0.0,0.6459382121427406,0.67341381921984,-10.34557399945042,3.2134703706723583e-05
Lead,Human Health,1599,0.8518290923991535,0.0,0.7256128026575657,0.8037218412541252,-4.139911838103841,0.01592425535517475
Lead,Natural Resources,1601,0.7348949676721608,5.68949353147838e-272,0.5400706135098664,0.7411129689009623,6.18198347638924,483.95091021118094
Latex,Ecosystem Quality,1601,0.7607331094367846,1.849863060507075e-302,0.578714863793359,0.6323409445175077,-7.270036234792418,0.0006960867707432874
