;activity type;database;location;name;reference product;unit;code;Total (kg);Total (m3);Hazardous (kg);Hazardous (m3);ecosystem quality;human health;natural resources
64a69b19fb8f9195a4ecb9a345bbe890;market activity;ecoinvent-3.9.1-cutoff;GLO;market for assembly of liquid crystal display, auxilliaries and energy use;assembly of liquid crystal display, auxilliaries and energy use;kilogram;64a69b19fb8f9195a4ecb9a345bbe890;21.424873699344793;0.28175538885152296;0.30803098851045774;3.008706872303966e-07;4.587828388264214e-08;2.808348382507096e-05;0.49954889979576556
99964a681c100dbe482d86bf9e921388;market activity;ecoinvent-3.9.1-cutoff;GLO;market for orthophthalic acid based unsaturated polyester resin;orthophthalic acid based unsaturated polyester resin;kilogram;99964a681c100dbe482d86bf9e921388;1.6022046589118273;0.005649827804003385;0.009303141393179963;8.298849540059527e-08;1.6579391699230894e-08;8.48871241308192e-06;0.7188601520034369
9e5c4ba091bbe4d075b90ca91eac6c5a;market activity;ecoinvent-3.9.1-cutoff;GLO;market for shale;shale;kilogram;9e5c4ba091bbe4d075b90ca91eac6c5a;0.02191640757361573;7.6255696235895425e-06;2.9770753196784816e-05;7.408472365898048e-11;8.352766018750034e-11;2.2760468430618987e-08;0.0012495855620203457
896ecbd1462243e51bae91e2a6f2c060;market activity;ecoinvent-3.9.1-cutoff;GLO;market for fatty alcohol sulfate;fatty alcohol sulfate;kilogram;896ecbd1462243e51bae91e2a6f2c060;1.609899702343619;0.005166736297328816;0.003924407684800358;4.5034850768337026e-08;2.5748735564731705e-08;7.855630426362145e-06;0.3269001140375967
c83ccaeb957e10a44b7b02cc09d026ad;market activity;ecoinvent-3.9.1-cutoff;GLO;market for hydrogen, gaseous;hydrogen, gaseous;kilogram;c83ccaeb957e10a44b7b02cc09d026ad;0.20618361202884358;0.000924692899834083;0.012745816098255688;1.2304667175875635e-08;1.132742185709112e-08;5.221685140702313e-06;1.504525011139946
cd0f7d529a724d3e61a0c405bdded582;market activity;ecoinvent-3.9.1-cutoff;GLO;market for ventilation system, central, 1 x 720 m3/h, polyethylene ducts, with earth tube heat exchanger;ventilation system, central, 1 x 720 m3/h, polyethylene ducts, with earth tube heat exchanger;unit;cd0f7d529a724d3e61a0c405bdded582;14317.87922293015;55.189224636422864;34.329703059891024;0.00018617326175582137;4.425457839195996e-05;0.032955191620507224;831.7466238208375
6119acbadeae6871b07052f5677aa77a;market activity;ecoinvent-3.9.1-cutoff;RoW;market for DTPA, diethylenetriaminepentaacetic acid;DTPA, diethylenetriaminepentaacetic acid;kilogram;6119acbadeae6871b07052f5677aa77a;1.7772587077511734;0.008189449642710355;0.008893624252053353;1.0021878860006393e-07;1.8541743761569e-08;9.653004380837778e-06;0.5484964984184449
9082c20b7eeaacb75874d7aa9f274259;market activity;ecoinvent-3.9.1-cutoff;GLO;market for dinitrogen tetroxide;dinitrogen tetroxide;kilogram;9082c20b7eeaacb75874d7aa9f274259;0.714916368515842;0.0011235332128294805;0.0014865619741776033;4.5222569603760035e-08;2.960298202415848e-08;1.1868107515274972e-05;0.15898626922996173
df67b3d01b68766ae7d013488def9122;market activity;ecoinvent-3.9.1-cutoff;GLO;market for asbestos, crysotile type;asbestos, crysotile type;kilogram;df67b3d01b68766ae7d013488def9122;0.09689710056453071;5.838166752986878e-05;0.00014511496063996033;1.9638995207064633e-09;4.134603007937053e-10;2.1709017562057463e-07;0.08535754352308236
c434db801833eff66389c10949f29cac;market activity;ecoinvent-3.9.1-cutoff;RoW;market for rape seed, for sowing;rape seed, for sowing;kilogram;c434db801833eff66389c10949f29cac;0.9600494171513174;0.0009575610229419066;0.0024866196625446847;2.0104427865914046e-08;7.555883157378781e-08;6.233064236389343e-06;0.11402666147718513
10e4b03b230c2f890239d6c0e0850754;market activity;ecoinvent-3.9.1-cutoff;GLO;market for antifouling paint emissions;antifouling paint emissions;kilogram;10e4b03b230c2f890239d6c0e0850754;0.0;0.0;0.0;0.0;-5.6905998170000736e-08;-9.235326574152028e-06;0.0
981d3e87d35588f06e6bc87d2be8c9fb;market activity;ecoinvent-3.9.1-cutoff;RoW;market for phosphorus oxychloride;phosphorus oxychloride;kilogram;981d3e87d35588f06e6bc87d2be8c9fb;2.284591908854367;0.007557290270419241;0.003522808217894998;2.742457166569168e-07;2.93250796373268e-08;1.2325537834061294e-05;0.32413459277459966
0bb1b155f3db9bb2bde3e25e4f8bb608;market activity;ecoinvent-3.9.1-cutoff;GLO;market for dryer;dryer;unit;0bb1b155f3db9bb2bde3e25e4f8bb608;199.09207408681436;3.510181479218969;1.2385578316702823;7.552988999824936e-06;1.5858860998128226e-06;0.0015212332189179596;19.833928588897585
