name;reference product;database;unit;production amount;location;code;activity type;ISIC_num;ISIC_name;CPC_num;CPC_name;prod_category;prod_sub_category
market for rape seed, Swiss integrated production;rape seed, Swiss integrated production;SSP5-PkBudg500-2030;kilogram;;GLO;306d3a32de8dfdb0f04cfba8c2b17ae3;;1110;Growing of cereals (except rice), leguminous crops and oil seeds;1443;Rape or colza seed;AgriForeAnim;Agricultural & forestry products
market for concrete, 45MPa;concrete, 45MPa;SSP5-PkBudg500-2030;cubic meter;;RoW;b41b198d5e856831ad55848d43ece1ca;;23950;Manufacture of articles of concrete, cement and plaster;37510;Non-refractory mortars and concretes;GlasNonMetal;Glass & other non-metallic products
market for 1,1-dimethylcyclopentane;1,1-dimethylcyclopentane;SSP5-PkBudg500-2030;kilogram;;GLO;e33da62b067e242385e4e3c3e4a83422;;19200;Manufacture of refined petroleum products;34100;Basic organic chemicals;Chemical;Chemical products
market for 3-methyl-1-butanol;3-methyl-1-butanol;SSP5-PkBudg500-2030;kilogram;;GLO;031d03477ac7e4683827f547b4e07bad;;20110;Manufacture of basic chemicals;34139;Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…];Chemical;Chemical products
market for carbon monoxide;carbon monoxide;SSP5-PkBudg500-2030;kilogram;;RoW;6c34763c1a84b8172102b2add76d34cc;;20110;Manufacture of basic chemicals;34210;"Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.";Chemical;Chemical products
market for natural gas, high pressure;natural gas, high pressure;SSP5-PkBudg500-2030;cubic meter;;RoW;8c533000f0930a8bd674095041d96d69;;35200;"Manufacture of gas; distribution of gaseous fuels through mains";12020;Natural gas, liquefied or in the gaseous state;OreMinFuel;Ores, minerals & fuels
market for steatite;steatite;SSP5-PkBudg500-2030;kilogram;;GLO;ed68c3463cce2d453de057e112411ab5;;8100;Quarrying of stone, sand and clay;16390;Other minerals n.e.c.;OreMinFuel;Ores, minerals & fuels
market for calcium chloride;calcium chloride;SSP5-PkBudg500-2030;kilogram;;RoW;fb6339d0fe2d22a9fa4d59817b5528df;;20110;Manufacture of basic chemicals;34240;"Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.";Chemical;Chemical products
market for NPK (26-15-15) fertiliser;NPK (26-15-15) fertiliser;SSP5-PkBudg500-2030;kilogram;;RoW;8b41c068352226a104adfee434e02f0e;;20120;Manufacture of fertilizers and nitrogen compounds;34641;Fertilizers containing three nutrients: nitrogen, phosphorus and potassium;Chemical;Chemical products
market for apple;apple;SSP5-PkBudg500-2030;kilogram;;GLO;0a53194111cb9168310016ac76b6590f;;1240;Growing of pome fruits and stone fruits;1341;Apples;AgriForeAnim;Agricultural & forestry products
market for chlorine, liquid;chlorine, liquid;SSP5-PkBudg500-2030;kilogram;;RoW;d02e92f28244066353ac23eb6f71c35e;;20110;Manufacture of basic chemicals;34231;"Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]";Chemical;Chemical products
market for 2-butanol;2-butanol;SSP5-PkBudg500-2030;kilogram;;RoW;cf67afad8b0a055ef36b0f0e2a41eb09;;20110;Manufacture of basic chemicals;34139;Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…];Chemical;Chemical products
market for 1-propanol;1-propanol;SSP5-PkBudg500-2030;kilogram;;GLO;fd0a584ab20d704adaade56edcccc55a;;20110;Manufacture of basic chemicals;34139;Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…];Chemical;Chemical products
market for palm date, conditioned and dried, organic;palm date, conditioned and dried, organic;SSP5-PkBudg500-2030;kilogram;;GLO;3417e68b559f959ee49e5512abb50846;;10300;Processing and preserving of fruit and vegetables;21419;Other dried fruit, n.e.c.;ProcBio;Food & beverages, animal feed
market for glass, for liquid crystal display;glass, for liquid crystal display;SSP5-PkBudg500-2030;kilogram;;GLO;1a3af6c63f889db2d2f02ec5f023cc83;;23100;Manufacture of glass and glass products;37190;Other glass articles;GlasNonMetal;Glass & other non-metallic products
market for polystyrene, general purpose;polystyrene, general purpose;SSP5-PkBudg500-2030;kilogram;;GLO;bc63d2f023b5adf9263d190c2b3b4a6b;;20130;Manufacture of plastics and synthetic rubber in primary forms;34720;Polymers of styrene, in primary forms;PlastRub;Plastics & rubber products
market for chlorodifluoromethane;chlorodifluoromethane;SSP5-PkBudg500-2030;kilogram;;RoW;2f630420c9f3bcd25d7b8b32bc2c8b42;;20110;Manufacture of basic chemicals;34110;Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives;Chemical;Chemical products
market for lithium hydroxide;lithium hydroxide;SSP5-PkBudg500-2030;kilogram;;GLO;464c6360725050e3227a12d9cfb2afeb;;20110;Manufacture of basic chemicals;34220;"Zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese oxides; iron oxides and hydroxides; earth[…]";Chemical;Chemical products
market for formaldehyde;formaldehyde;SSP5-PkBudg500-2030;kilogram;;RoW;fdb1628c86b3f9b4fbee642fd4e6ceeb;;20110;Manufacture of basic chemicals;34170;Ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, and their halogenated, sulphona[…];Chemical;Chemical products
market for sodium nitrite;sodium nitrite;SSP5-PkBudg500-2030;kilogram;;RoW;ec2299c0855c59c9b86f582956d9cd9d;;20110;Manufacture of basic chemicals;34240;"Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.";Chemical;Chemical products
market for wood preservative, organic, indoor use, dry;wood preservative, organic, indoor use, dry;SSP5-PkBudg500-2030;kilogram;;GLO;14ff2382cafb9e0c715a810d9577df77;;20210;Manufacture of pesticides and other agrochemical products;34500;Miscellaneous basic chemical products;Chemical;Chemical products
market for lithium hexafluorophosphate;lithium hexafluorophosphate;SSP5-PkBudg500-2030;kilogram;;GLO;d971937192fae29417d670b40a21f603;;20110;Manufacture of basic chemicals;34200;Basic inorganic chemicals n.e.c.;Chemical;Chemical products
market for poultry manure, fresh;poultry manure, fresh;SSP5-PkBudg500-2030;kilogram;;GLO;0654fa2a94bae92b96257ca44dc238ed;;1610;Support activities for crop production;34654;Excreta of animals useful for manure/fertilizer and fuel preparation;Chemical;Chemical products
market for trichloroborane;trichloroborane;SSP5-PkBudg500-2030;kilogram;;GLO;1c184f38759c1eece1a9341c11e88b9c;;20110;Manufacture of basic chemicals;34200;Basic inorganic chemicals n.e.c.;Chemical;Chemical products
market for silver, unrefined;silver, unrefined;SSP5-PkBudg500-2030;kilogram;;GLO;a20be73eef30e9d555ae126bea5ca4f5;;7290;Mining of other non-ferrous metal ores;41310;Silver (including silver plated with gold or platinum), unwrought or in semi-manufactured forms, or in powder […];MetalAlloy;Basic metals & alloys, their semi-finished products
market for cleft timber, measured as dry mass;cleft timber, measured as dry mass;SSP5-PkBudg500-2030;kilogram;;RoW;ac2706c6e4646657d24f5b7b841bdde2;;2200;Logging;3100;Wood in the rough;AgriForeAnim;Agricultural & forestry products
market for bitumen seal, VA4;bitumen seal, VA4;SSP5-PkBudg500-2030;kilogram;;GLO;1d572900ac71ab7e5f3f14bff6287e6c;;23990;Manufacture of other non-metallic mineral products n.e.c.;37940;Bituminous mixtures based on natural and artificial stone materials and bitumen, natural asphalt or related su[…];GlasNonMetal;Glass & other non-metallic products
market for lead concentrate stockpiling;lead concentrate stockpiling;SSP5-PkBudg500-2030;kilogram;;GLO;084a22cf5bd15c0027be52d0202101b5;;24200;Manufacture of basic precious and other non-ferrous metals;41441;Lead, unwrought;MetalAlloy;Basic metals & alloys, their semi-finished products
market for polystyrene scrap, post-consumer;polystyrene scrap, post-consumer;SSP5-PkBudg500-2030;kilogram;;GLO;0fa637cb6b5939d391ff8cc38cc6362e;;22200;Manufacture of plastics products;39270;Waste, parings and scrap of plastics;AgriForeAnim;Agricultural & forestry products
market for cathode, LiMn2O4, for Li-ion battery;cathode, LiMn2O4, for Li-ion battery;SSP5-PkBudg500-2030;kilogram;;GLO;9ca027839259f93d0fb65bb454778c70;;27200;Manufacture of batteries and accumulators;46430;Parts of primary cells, primary batteries and electric accumulators (including separators);MachElecTrans;Metal/electronic equipments & parts
market for bentonite;bentonite;SSP5-PkBudg500-2030;kilogram;;GLO;8a4a5b701f68b5d1559ed70719edd1fc;;8100;Quarrying of stone, sand and clay;15400;Clays;OreMinFuel;Ores, minerals & fuels
market for carrot;carrot;SSP5-PkBudg500-2030;kilogram;;GLO;7e0b03342cb90ee6053113e8c84ad4d4;;1130;Growing of vegetables and melons, roots and tubers;1251;Carrots and turnips;AgriForeAnim;Agricultural & forestry products
market for paper, woodcontaining, supercalendered;paper, woodcontaining, supercalendered;SSP5-PkBudg500-2030;kilogram;;RoW;02175d13c0d086ee5e8e764a49f9ae12;;17010;Manufacture of pulp, paper and paperboard;32100;Pulp, paper and paperboard;ProcBio;Pulp & paper
market for tofu;tofu;SSP5-PkBudg500-2030;kilogram;;GLO;90d8e74d83fc4ecf4674f3e266b796fa;;10300;Processing and preserving of fruit and vegetables;23999;Other food products n.e.c.;ProcBio;Food & beverages, animal feed
market for epoxy resin, liquid;epoxy resin, liquid;SSP5-PkBudg500-2030;kilogram;;RoW;6cde05b97e9c5ab46039a9c19bae6a11;;20110;Manufacture of basic chemicals;34740;"Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl es[…]";PlastRub;Plastics & rubber products
market for ethylamine;ethylamine;SSP5-PkBudg500-2030;kilogram;;GLO;30e6f0cb8e8bb4a3f4af5b5ad885f89a;;20110;Manufacture of basic chemicals;34150;"Amine-function compounds; oxygen-function amino-compounds, except lysine and its esters and salts thereof and […]";Chemical;Chemical products
market for calcium carbonate, precipitated;calcium carbonate, precipitated;SSP5-PkBudg500-2030;kilogram;;RoW;bc2c53ca3fe04d0ed1ff8a1a7706871a;;20110;Manufacture of basic chemicals;34240;"Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.";Chemical;Chemical products
market for stone wool, packed;stone wool, packed;SSP5-PkBudg500-2030;kilogram;;GLO;83a1fef8d65979022f9ebc479f91a83e;;23990;Manufacture of other non-metallic mineral products n.e.c.;37990;Non-metallic mineral products n.e.c. (including mineral wool, expanded mineral materials, worked mica, article[…];GlasNonMetal;Glass & other non-metallic products
market for electric connector, peripheral type buss;electric connector, peripheral type buss;SSP5-PkBudg500-2030;kilogram;;GLO;4f5f772cf9ed96500c00aea40e19977e;;26100;Manufacture of electronic components and boards;47100;"Electronic valves and tubes; electronic components; parts thereof";MachElecTrans;Metal/electronic equipments & parts
market for ferrochromium, high-carbon, 55% Cr;ferrochromium, high-carbon, 55% Cr;SSP5-PkBudg500-2030;kilogram;;GLO;8d2681c5aa28f9f3a2309534fc2ced70;;24100;Manufacture of basic iron and steel;41113;Ferro-chromium;MetalAlloy;Basic metals & alloys, their semi-finished products
market for bagasse, from sugarcane;bagasse, from sugarcane;SSP5-PkBudg500-2030;kilogram;;RoW;077395d23d3dc7d266b094eb0f53d1bb;;10720;Manufacture of sugar;39141;Bagasse;AgriForeAnim;Agricultural & forestry products
market for banana;banana;SSP5-PkBudg500-2030;kilogram;;GLO;68100fb44f8ad49379f1607967f495e0;;1220;Growing of tropical and subtropical fruits;1312;Bananas;AgriForeAnim;Agricultural & forestry products
market for urea;urea;SSP5-PkBudg500-2030;kilogram;;RoW;352620dedc8b8c8d382e3466bb662711;;20120;Manufacture of fertilizers and nitrogen compounds;34611;Urea;Chemical;Chemical products
market for wood preservative, water-based, indoor use, dry;wood preservative, water-based, indoor use, dry;SSP5-PkBudg500-2030;kilogram;;GLO;a258b7852eb5bbceee7236d6674d21a8;;20210;Manufacture of pesticides and other agrochemical products;34500;Miscellaneous basic chemical products;Chemical;Chemical products
market for white asparagus;white asparagus;SSP5-PkBudg500-2030;kilogram;;GLO;648ca6a8c91e72725e28da0c8b6770d9;;1130;Growing of vegetables and melons, roots and tubers;1211;Asparagus;AgriForeAnim;Agricultural & forestry products
market for rape meal;rape meal;SSP5-PkBudg500-2030;kilogram;;GLO;7fd695d68b59a13513e5901c32473db1;;10400;Manufacture of vegetable and animal oils and fats;23319;Preparations used in animal feeding n.e.c.;ProcBio;Food & beverages, animal feed
market for layered sodium silicate, SKS-6, powder;layered sodium silicate, SKS-6, powder;SSP5-PkBudg500-2030;kilogram;;GLO;4a97400acecda4c3155d3c03c8a7f147;;20230;Manufacture of soap and detergents, cleaning and polishing preparations, pe;35300;Soap, cleaning preparations, perfumes and toilet preparations;Chemical;Chemical products
market for acetaldehyde;acetaldehyde;SSP5-PkBudg500-2030;kilogram;;GLO;4fbd6e9e2910e3a6144191aa03019ba9;;20110;Manufacture of basic chemicals;34170;Ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, and their halogenated, sulphona[…];Chemical;Chemical products
market for nickel, class 1;nickel, class 1;SSP5-PkBudg500-2030;kilogram;;GLO;4347b9665d0aea69c7956fa09ac8db07;;24200;Manufacture of basic precious and other non-ferrous metals;41422;Unwrought nickel;MetalAlloy;Basic metals & alloys, their semi-finished products
market for weaned calves, live weight;weaned calves, live weight;SSP5-PkBudg500-2030;kilogram;;RoW;27c4c4db4102596fe29df6606b893a84;;1410;Raising of cattle and buffaloes;2111;Cattle;AgriForeAnim;Live animal, fish & their products
market for ferrite;ferrite;SSP5-PkBudg500-2030;kilogram;;GLO;f10bd33eb6618cb469ca7eb46bbfc490;;23930;Manufacture of other porcelain and ceramic products;41110;Primary materials of the iron and steel industry;MetalAlloy;Basic metals & alloys, their semi-finished products
market for reformate;reformate;SSP5-PkBudg500-2030;kilogram;;GLO;8dedd58e9f3b2406b7356dd61b6389f0;;19200;Manufacture of refined petroleum products;33390;Other petroleum oils n.e.c.;OreMinFuel;Ores, minerals & fuels
market for ryegrass-red&Egyptian clover-mixture silage;ryegrass-red&Egyptian clover-mixture silage;SSP5-PkBudg500-2030;kilogram;;GLO;869972f33ab3b9ca61abf423b95fd28a;;1610;Support activities for crop production;1919;Forage products, n.e.c.;AgriForeAnim;Agricultural & forestry products
market for hexamethyldisilazane;hexamethyldisilazane;SSP5-PkBudg500-2030;kilogram;;GLO;4656577c28e886c5cf15a95f0022517b;;20110;Manufacture of basic chemicals;34150;"Amine-function compounds; oxygen-function amino-compounds, except lysine and its esters and salts thereof and […]";Chemical;Chemical products
market for steel, unalloyed;steel, unalloyed;SSP5-PkBudg500-2030;kilogram;;World;cffd6b905b824b56b613a1d8879cfde2;;24100;Manufacture of basic iron and steel;41121;Non-alloy steel in ingots or other primary forms, and semi-finished products of non-alloy steel;MetalAlloy;Basic metals & alloys, their semi-finished products
market for maize silage;maize silage;SSP5-PkBudg500-2030;kilogram;;RoW;736960c766177fde5c5c680235fefb49;;1190;Growing of other non-perennial crops;1911;Maize for forage and silage;AgriForeAnim;Agricultural & forestry products
market for metallization paste, front side;metallization paste, front side;SSP5-PkBudg500-2030;kilogram;;RoW;1c36337e0d7c65ba5305fdfcd3ae7ddb;;20290;Manufacture of other chemical products n.e.c.;35499;Other chemical products n.e.c.;Chemical;Chemical products
market for diammonium phosphate;diammonium phosphate;SSP5-PkBudg500-2030;kilogram;;RoW;69fb079c1ab8998b9004b714b3ea9d9b;;20120;Manufacture of fertilizers and nitrogen compounds;34642;Diammonium hydrogenorthophosphate (diammonium phosphate);Chemical;Chemical products
market for helium;helium;SSP5-PkBudg500-2030;kilogram;;GLO;612a9183c7bac2685fb87a699974c8aa;;20110;Manufacture of basic chemicals;34231;"Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]";Chemical;Chemical products
market for molybdenum trioxide;molybdenum trioxide;SSP5-PkBudg500-2030;kilogram;;GLO;052eca926bd9d9041df3b9325e33e8b7;;24200;Manufacture of basic precious and other non-ferrous metals;41601;Tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium, beryllium, gallium, hafnium, […];MetalAlloy;Basic metals & alloys, their semi-finished products
market for palm oil, refined;palm oil, refined;SSP5-PkBudg500-2030;kilogram;;GLO;4b3025c58b8e3d16b64507fdcda4219b;;10400;Manufacture of vegetable and animal oils and fats;21652;Palm oil, refined;ProcBio;Food & beverages, animal feed
market for capacitor, film type, for through-hole mounting;capacitor, film type, for through-hole mounting;SSP5-PkBudg500-2030;kilogram;;GLO;54f538c893808698cb3a89ae67c76c87;;26100;Manufacture of electronic components and boards;47110;Electrical capacitors;MachElecTrans;Metal/electronic equipments & parts
market for natural gas, low pressure;natural gas, low pressure;SSP5-PkBudg500-2030;cubic meter;;RoW;63c1ac90c04ce17ee2378c39a2ce6849;;35200;"Manufacture of gas; distribution of gaseous fuels through mains";69120;Gas distribution through mains (on own account);OreMinFuel;Ores, minerals & fuels
market for potash salt;potash salt;SSP5-PkBudg500-2030;kilogram;;RoW;af6a972c95e838aff24e2ffb3add846a;;8910;Mining of chemical and fertilizer minerals;34639;Carnallite, sylvite and other potassic fertilizers, n.e.c.;Chemical;Chemical products
market for chemical, inorganic;chemical, inorganic;SSP5-PkBudg500-2030;kilogram;;GLO;314788525fb7ca3c3b5e00020416b469;;20110;Manufacture of basic chemicals;34200;Basic inorganic chemicals n.e.c.;Chemical;Chemical products
market for hydrazine sulfate;hydrazine sulfate;SSP5-PkBudg500-2030;kilogram;;GLO;90ac1c25d24832dcdbe1d8fc959e0ed8;;20110;Manufacture of basic chemicals;34231;"Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]";Chemical;Chemical products
market for reinforcing steel;reinforcing steel;SSP5-PkBudg500-2030;kilogram;;GLO;bd3a3818f60643fd78eccefa7b4390c1;;24100;Manufacture of basic iron and steel;41240;Bars and rods, hot-rolled, of iron or steel;MetalAlloy;Basic metals & alloys, their semi-finished products
market for sawnwood, hardwood, raw, dried (u=10%);sawnwood, hardwood, raw, dried (u=10%);SSP5-PkBudg500-2030;cubic meter;;RoW;b6f5dea381d6d63761267e3dc37baaa7;;16100;Sawmilling and planing of wood;31102;Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm, of non-coniferous wood;ProcBio;Wood, straw & cork
market for sugar beet pulp;sugar beet pulp;SSP5-PkBudg500-2030;kilogram;;GLO;1f1656838394188bd8dcdf7559af6fc7;;10720;Manufacture of sugar;23319;Preparations used in animal feeding n.e.c.;ProcBio;Food & beverages, animal feed
market for epichlorohydrin;epichlorohydrin;SSP5-PkBudg500-2030;kilogram;;GLO;72c4103b7f93fdcf8b60821a3760455b;;20110;Manufacture of basic chemicals;34170;Ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, and their halogenated, sulphona[…];Chemical;Chemical products
market for sawnwood, hardwood, dried (u=10%), planed;sawnwood, hardwood, dried (u=10%), planed;SSP5-PkBudg500-2030;cubic meter;;RoW;31b380ec9fa508058d4aa73cc52a156b;;16100;Sawmilling and planing of wood;31102;Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm, of non-coniferous wood;ProcBio;Wood, straw & cork
market for assembly of liquid crystal display, auxilliaries and energy use;assembly of liquid crystal display, auxilliaries and energy use;SSP5-PkBudg500-2030;kilogram;;GLO;64a69b19fb8f9195a4ecb9a345bbe890;;26200;Manufacture of computers and peripheral equipment;47315;Monitors and projectors, principally used in an automatic data processing system;MachElecTrans;Metal/electronic equipments & parts
market for electronic component, passive, unspecified;electronic component, passive, unspecified;SSP5-PkBudg500-2030;kilogram;;GLO;c102fc3787901821592f216e5e915610;;26100;Manufacture of electronic components and boards;47100;"Electronic valves and tubes; electronic components; parts thereof";MachElecTrans;Metal/electronic equipments & parts
market for wheat bran;wheat bran;SSP5-PkBudg500-2030;kilogram;;RoW;329bb09fce32474293e1feea0e5945e2;;10610;Manufacture of grain mill products;23130;Groats, meal and pellets of wheat and other cereals;ProcBio;Food & beverages, animal feed
market for packaging glass, white;packaging glass, white;SSP5-PkBudg500-2030;kilogram;;GLO;15414a588fab4d021e0c1f1d74ba5e36;;23100;Manufacture of glass and glass products;37191;Bottles, jars, phials and other containers, of glass, of a kind used for the conveyance or packing of goods, e[…];GlasNonMetal;Glass & other non-metallic products
market for containerboard, linerboard;containerboard, linerboard;SSP5-PkBudg500-2030;kilogram;;RoW;125956b325ebd0216cd54ca18eb694f7;;17020;Manufacture of corrugated paper and paperboard and of containers of paper a;32151;Corrugated paper and paperboard;ProcBio;Pulp & paper
market for glued solid timber;glued solid timber;SSP5-PkBudg500-2030;cubic meter;;RoW;45f75757913743e095a46550e2b5c82c;;16210;Manufacture of veneer sheets and wood-based panels;31411;Plywood consisting solely of sheets, of coniferous wood;ProcBio;Wood, straw & cork
market for copper-rich materials;copper-rich materials;SSP5-PkBudg500-2030;kilogram;;GLO;6d98d1addce810689dac1580164233ec;;24200;Manufacture of basic precious and other non-ferrous metals;41412;"Unrefined copper; copper anodes for electrolytic refining";MetalAlloy;Basic metals & alloys, their semi-finished products
market for polystyrene foam slab for perimeter insulation;polystyrene foam slab for perimeter insulation;SSP5-PkBudg500-2030;kilogram;;GLO;3ec552673809c6c0b2a0fb13aaa627a6;;22200;Manufacture of plastics products;36300;Semi-manufactures of plastics;PlastRub;Plastics & rubber products
market for straw;straw;SSP5-PkBudg500-2030;kilogram;;RoW;5109ea2e1795e6ddf2a8003765d40779;;1110;Growing of cereals (except rice), leguminous crops and oil seeds;1913;Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets;AgriForeAnim;Agricultural & forestry products
market for sweet corn;sweet corn;SSP5-PkBudg500-2030;kilogram;;GLO;72938e5816ae2a0251a210197e80d2da;;1110;Growing of cereals (except rice), leguminous crops and oil seeds;1290;Vegetables, fresh, n.e.c.;AgriForeAnim;Agricultural & forestry products
market for carbon dioxide, in chemical industry;carbon dioxide, in chemical industry;SSP5-PkBudg500-2030;kilogram;;GLO;637f663e5426c84d73ebcde1fb3be564;;20120;Manufacture of fertilizers and nitrogen compounds;34210;"Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.";Chemical;Chemical products
market for trichloromethane;trichloromethane;SSP5-PkBudg500-2030;kilogram;;RoW;5f8ef94f9fb062bf0ebeb46a255236a0;;20110;Manufacture of basic chemicals;34110;Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives;Chemical;Chemical products
market for sulfur dichloride;sulfur dichloride;SSP5-PkBudg500-2030;kilogram;;RoW;263c75bcf7764e076e48cd3517b65ac9;;20110;Manufacture of basic chemicals;34200;Basic inorganic chemicals n.e.c.;Chemical;Chemical products
market for steel, chromium steel 18/8;steel, chromium steel 18/8;SSP5-PkBudg500-2030;kilogram;;World;9b29e533a4a746d888b6be9688c7ae9d;;24100;Manufacture of basic iron and steel;41122;Alloy steel in ingots or other primary forms and semi-finished products of alloy steel;MetalAlloy;Basic metals & alloys, their semi-finished products
market for electric connector, wire clamp;electric connector, wire clamp;SSP5-PkBudg500-2030;kilogram;;GLO;e276f74c3c90e06b42ac4b8b48bed00f;;26100;Manufacture of electronic components and boards;47100;"Electronic valves and tubes; electronic components; parts thereof";MachElecTrans;Metal/electronic equipments & parts
market for folpet;folpet;SSP5-PkBudg500-2030;kilogram;;GLO;ca123ffe7d9bc9f7062bb5e36479ea85;;20210;Manufacture of pesticides and other agrochemical products;34662;Fungicides;Chemical;Chemical products
market for low voltage system, for Li-ion battery;low voltage system, for Li-ion battery;SSP5-PkBudg500-2030;kilogram;;GLO;af2bc656b4aafd9ed0828b956ab8984e;;27200;Manufacture of batteries and accumulators;46430;Parts of primary cells, primary batteries and electric accumulators (including separators);MachElecTrans;Metal/electronic equipments & parts
market for p-chlorophenol;p-chlorophenol;SSP5-PkBudg500-2030;kilogram;;GLO;62126c280b17c6d6a69b136eac3ce9c4;;20110;Manufacture of basic chemicals;34139;Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…];Chemical;Chemical products
market for sodium chloride, powder;sodium chloride, powder;SSP5-PkBudg500-2030;kilogram;;GLO;8285b545c95ff0a2d17eb2bc57cbeaa2;;8930;Extraction of salt;16200;"Salt and pure sodium chloride; sea water";OreMinFuel;Ores, minerals & fuels
market for calcium carbide, technical grade;calcium carbide, technical grade;SSP5-PkBudg500-2030;kilogram;;RoW;cdba9355b139008f847da34ce617c324;;20110;Manufacture of basic chemicals;34280;"Hydrogen peroxide; phosphides; carbides; hydrides, nitrides, azides, silicides and borides";Chemical;Chemical products
market for methyl formate;methyl formate;SSP5-PkBudg500-2030;kilogram;;GLO;0b5eb5e614c3cb3366c96126356958ce;;20110;Manufacture of basic chemicals;34140;Carboxylic acids and their anhydrides, halides, peroxides and peroxyacids and their halogenated, sulphonated, […];Chemical;Chemical products
market for diode, glass-, for surface-mounting;diode, glass-, for surface-mounting;SSP5-PkBudg500-2030;kilogram;;GLO;29c306102280b9bf885699654fdfb2f8;;26100;Manufacture of electronic components and boards;47150;"Diodes, transistors and similar semi-conductor devices; photosensitive semi-conductor devices; light emitting […]";MachElecTrans;Metal/electronic equipments & parts
market for potato;potato;SSP5-PkBudg500-2030;kilogram;;GLO;b9a9237cc25ac3cfe4585e3135427e1f;;1130;Growing of vegetables and melons, roots and tubers;1510;Potatoes;AgriForeAnim;Agricultural & forestry products
market for pentaerythritol;pentaerythritol;SSP5-PkBudg500-2030;kilogram;;GLO;d32baff85328e14850a14e2168937e32;;20110;Manufacture of basic chemicals;34139;Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…];Chemical;Chemical products
market for inverter, for electric passenger car;inverter, for electric passenger car;SSP5-PkBudg500-2030;kilogram;;GLO;946574db5d4abbccd83212f14c786f68;;27900;Manufacture of other electrical equipment;46130;Parts for the goods of classes 4611 and 4612;MachElecTrans;Metal/electronic equipments & parts
market for wood preservative, organic salt, Cr-free;wood preservative, organic salt, Cr-free;SSP5-PkBudg500-2030;kilogram;;GLO;0e4914e3ae35460b4a1ad962c39cead4;;20210;Manufacture of pesticides and other agrochemical products;34500;Miscellaneous basic chemical products;Chemical;Chemical products
market for used redox-flow battery;used redox-flow battery;SSP5-PkBudg500-2030;kilogram;1.0;GLO;3957ea58ae8545da9dd73e6c652f5ce6;process;-1;missing;-1;missing;;
market for zeolite, slurry, without water, in 50% solution state;zeolite, slurry, without water, in 50% solution state;SSP5-PkBudg500-2030;kilogram;;RoW;8d2936a654144de837c482a9f5cb7127;;20230;Manufacture of soap and detergents, cleaning and polishing preparations, pe;35300;Soap, cleaning preparations, perfumes and toilet preparations;Chemical;Chemical products
market for dioctyl terephthalate;dioctyl terephthalate;SSP5-PkBudg500-2030;kilogram;;GLO;38bfa307891b46a64abd11ce053566f4;;20110;Manufacture of basic chemicals;34140;Carboxylic acids and their anhydrides, halides, peroxides and peroxyacids and their halogenated, sulphonated, […];Chemical;Chemical products
market for pitch despergents, in paper production;pitch despergents, in paper production;SSP5-PkBudg500-2030;kilogram;;RoW;aebc8c6782d3f8c3fc83d0a512ad38f0;;20110;Manufacture of basic chemicals;34000;Basic chemicals;Chemical;Chemical products
market for diode, auxilliaries and energy use;diode, auxilliaries and energy use;SSP5-PkBudg500-2030;kilogram;;GLO;b0fe90dfa0487837feec930bd6c9fcd7;;26100;Manufacture of electronic components and boards;47150;"Diodes, transistors and similar semi-conductor devices; photosensitive semi-conductor devices; light emitting […]";MachElecTrans;Metal/electronic equipments & parts
market for fodder beet seed, for sowing;fodder beet seed, for sowing;SSP5-PkBudg500-2030;kilogram;;GLO;15c3da7199cfe906bf2d8767c327a061;;1640;Seed processing for propagation;1940;Beet seeds (excluding sugar beet seeds) and seeds of forage plants;AgriForeAnim;Agricultural & forestry products
