('08/26/2025, 21:10:00', 'SSP1-PkBudg500-2040', 'MaterialFootprint_borates', 'additions', 15, 'duration:', '0:00:21.908246')
('08/26/2025, 21:10:00', 'SSP1-PkBudg500-2040', 'MaterialFootprint_cadmium', 'additions', 17, 'duration:', '0:00:22.066460')
('08/26/2025, 21:10:10', 'SSP1-PkBudg500-2040', 'MaterialFootprint_cement', 'additions', 1168, 'duration:', '0:00:32.502076')
('08/26/2025, 21:10:10', 'SSP1-PkBudg500-2040', 'MaterialFootprint_cerium', 'additions', 3, 'duration:', '0:00:32.533444')
('08/26/2025, 21:10:14', 'SSP1-PkBudg500-2040', 'MaterialFootprint_chromium', 'additions', 474, 'duration:', '0:00:36.533854')
('08/26/2025, 21:10:30', 'SSP1-PkBudg500-2040', 'MaterialFootprint_coal(black)', 'additions', 1756, 'duration:', '0:00:51.880301')
('08/26/2025, 21:10:41', 'SSP1-PkBudg500-2040', 'MaterialFootprint_coal(brown)', 'additions', 542, 'duration:', '0:01:03.102708')
('08/26/2025, 21:10:44', 'SSP1-PkBudg500-2040', 'MaterialFootprint_cobalt', 'additions', 168, 'duration:', '0:01:06.538190')
('08/26/2025, 21:10:46', 'SSP1-PkBudg500-2040', 'MaterialFootprint_coke', 'additions', 110, 'duration:', '0:01:08.792767')
('08/26/2025, 21:11:12', 'SSP1-PkBudg500-2040', 'MaterialFootprint_copper', 'additions', 1237, 'duration:', '0:01:34.588495')
('08/26/2025, 21:11:12', 'SSP1-PkBudg500-2040', 'MaterialFootprint_dysprosium', 'additions', 1, 'duration:', '0:01:34.615541')
('08/26/2025, 21:11:12', 'SSP1-PkBudg500-2040', 'MaterialFootprint_erbium', 'additions', 1, 'duration:', '0:01:34.646129')
('08/26/2025, 21:11:12', 'SSP1-PkBudg500-2040', 'MaterialFootprint_europium', 'additions', 1, 'duration:', '0:01:34.678183')
('08/26/2025, 21:11:13', 'SSP1-PkBudg500-2040', 'MaterialFootprint_fluorspar', 'additions', 29, 'duration:', '0:01:35.167578')
('08/26/2025, 21:11:13', 'SSP1-PkBudg500-2040', 'MaterialFootprint_gadolinium', 'additions', 1, 'duration:', '0:01:35.192364')
('08/26/2025, 21:11:13', 'SSP1-PkBudg500-2040', 'MaterialFootprint_gallium', 'additions', 4, 'duration:', '0:01:35.276464')
('08/26/2025, 21:11:13', 'SSP1-PkBudg500-2040', 'MaterialFootprint_gold', 'additions', 11, 'duration:', '0:01:35.514897')
('08/26/2025, 21:11:14', 'SSP1-PkBudg500-2040', 'MaterialFootprint_graphite', 'additions', 31, 'duration:', '0:01:36.163576')
('08/26/2025, 21:11:15', 'SSP1-PkBudg500-2040', 'MaterialFootprint_helium', 'additions', 46, 'duration:', '0:01:37.097916')
('08/26/2025, 21:11:15', 'SSP1-PkBudg500-2040', 'MaterialFootprint_holmium', 'additions', 1, 'duration:', '0:01:37.126873')
('08/26/2025, 21:11:28', 'SSP1-PkBudg500-2040', 'MaterialFootprint_hydrogen', 'additions', 646, 'duration:', '0:01:50.230285')
('08/26/2025, 21:11:28', 'SSP1-PkBudg500-2040', 'MaterialFootprint_indium', 'additions', 16, 'duration:', '0:01:50.551381')
('08/26/2025, 21:11:29', 'SSP1-PkBudg500-2040', 'MaterialFootprint_latex', 'additions', 49, 'duration:', '0:01:51.568577')
('08/26/2025, 21:11:34', 'SSP1-PkBudg500-2040', 'MaterialFootprint_lead', 'additions', 237, 'duration:', '0:01:56.474859')
('08/26/2025, 21:11:35', 'SSP1-PkBudg500-2040', 'MaterialFootprint_lithium', 'additions', 55, 'duration:', '0:01:57.664292')
('08/26/2025, 21:11:42', 'SSP1-PkBudg500-2040', 'MaterialFootprint_magnesium', 'additions', 316, 'duration:', '0:02:04.418425')
('08/26/2025, 21:12:43', 'SSP1-PkBudg500-2040', 'MaterialFootprint_natural gas', 'additions', 2756, 'duration:', '0:03:05.590853')
('08/26/2025, 21:12:52', 'SSP1-PkBudg500-2040', 'MaterialFootprint_nickel', 'additions', 438, 'duration:', '0:03:14.855677')
('08/26/2025, 21:12:53', 'SSP1-PkBudg500-2040', 'MaterialFootprint_palladium', 'additions', 36, 'duration:', '0:03:15.497439')
('08/26/2025, 21:13:04', 'SSP1-PkBudg500-2040', 'MaterialFootprint_petroleum', 'additions', 511, 'duration:', '0:03:26.041997')
('08/26/2025, 21:13:08', 'SSP1-PkBudg500-2040', 'MaterialFootprint_phosphate rock', 'additions', 207, 'duration:', '0:03:30.237397')
('08/26/2025, 21:13:11', 'SSP1-PkBudg500-2040', 'MaterialFootprint_platinum', 'additions', 171, 'duration:', '0:03:33.782693')
('08/26/2025, 21:13:12', 'SSP1-PkBudg500-2040', 'MaterialFootprint_rare earth', 'additions', 37, 'duration:', '0:03:34.550590')
('08/26/2025, 21:13:12', 'SSP1-PkBudg500-2040', 'MaterialFootprint_rhodium', 'additions', 11, 'duration:', '0:03:34.783140')
('08/26/2025, 21:13:24', 'SSP1-PkBudg500-2040', 'MaterialFootprint_sand', 'additions', 590, 'duration:', '0:03:46.806070')
('08/26/2025, 21:13:24', 'SSP1-PkBudg500-2040', 'MaterialFootprint_scandium', 'additions', 1, 'duration:', '0:03:46.835143')
('08/26/2025, 21:13:25', 'SSP1-PkBudg500-2040', 'MaterialFootprint_selenium', 'additions', 9, 'duration:', '0:03:47.028678')
('08/26/2025, 21:13:32', 'SSP1-PkBudg500-2040', 'MaterialFootprint_silicon', 'additions', 381, 'duration:', '0:03:54.620489')
('08/26/2025, 21:13:33', 'SSP1-PkBudg500-2040', 'MaterialFootprint_silver', 'additions', 51, 'duration:', '0:03:55.646575')
('08/26/2025, 21:13:34', 'SSP1-PkBudg500-2040', 'MaterialFootprint_strontium', 'additions', 28, 'duration:', '0:03:56.242957')
('08/26/2025, 21:13:34', 'SSP1-PkBudg500-2040', 'MaterialFootprint_tantalum', 'additions', 3, 'duration:', '0:03:56.315575')
('08/26/2025, 21:13:34', 'SSP1-PkBudg500-2040', 'MaterialFootprint_tellurium', 'additions', 2, 'duration:', '0:03:56.366816')
('08/26/2025, 21:13:37', 'SSP1-PkBudg500-2040', 'MaterialFootprint_tin', 'additions', 127, 'duration:', '0:03:58.938787')
('08/26/2025, 21:13:46', 'SSP1-PkBudg500-2040', 'MaterialFootprint_titanium', 'additions', 458, 'duration:', '0:04:08.361948')
('08/26/2025, 21:13:46', 'SSP1-PkBudg500-2040', 'MaterialFootprint_tungsten', 'additions', 5, 'duration:', '0:04:08.472467')
('08/26/2025, 21:13:49', 'SSP1-PkBudg500-2040', 'MaterialFootprint_uranium', 'additions', 140, 'duration:', '0:04:11.263381')
('08/26/2025, 21:13:49', 'SSP1-PkBudg500-2040', 'MaterialFootprint_vanadium', 'additions', 1, 'duration:', '0:04:11.291243')
('08/26/2025, 21:13:50', 'SSP1-PkBudg500-2040', 'MaterialFootprint_vegetable oil', 'additions', 37, 'duration:', '0:04:12.058193')
('08/26/2025, 21:14:04', 'SSP1-PkBudg500-2040', 'MaterialFootprint_zinc', 'additions', 673, 'duration:', '0:04:25.995513')
