location;database;code;name;reference product;unit;Hazardous (kg);Hazardous (m3);ecosystem quality;human health;natural resources;parameters full;log parameters;emptied;activity type
RoW;SSP1-PkBudg500-2040;c7d075041447723e052defd7d3c10af2;market for lime, hydrated, packed;lime, hydrated, packed;kilogram;0.0006012143303546;3.421410983335666e-09;3.28714816143602e-09;1.1731876944782014e-06;0.0400862031966435;;;;
GLO;SSP1-PkBudg500-2040;ac0803d0780fb604ecba4c29f2df3dbd;market for polyvinylchloride, emulsion polymerised;polyvinylchloride, emulsion polymerised;kilogram;0.0385808529187172;5.5224696670339984e-08;8.048721144051322e-09;3.956038237930226e-06;0.4190687494610861;;;;
RoW;SSP1-PkBudg500-2040;993e8ec377dbbcf4d690e4c58bc1d71b;market for sawlog and veneer log, hardwood, measured as solid wood under bark;sawlog and veneer log, hardwood, measured as solid wood under bark;cubic meter;0.1131638455399172;2.40117273362861e-07;4.380679178241575e-06;3.263329958589538e-05;1.3912802220937546;;;;
GLO;SSP1-PkBudg500-2040;eeb4b5d8cde7c7e7e2bff4b402c88e1d;market for benzo[thia]diazole-compound;benzo[thia]diazole-compound;kilogram;0.0138433201565042;2.2764594907619358e-07;4.421806495094092e-08;2.7278297495507574e-05;1.033926217069295;;;;
RoW;SSP1-PkBudg500-2040;782257959315342a908b684c06eb0850;market for melamine formaldehyde resin;melamine formaldehyde resin;kilogram;0.0055932946913127;4.770038890872237e-08;2.3248508098193003e-08;1.1898451821389036e-05;0.5093546299715772;;;;
GLO;SSP1-PkBudg500-2040;d053f1b0998eae92cd5e77983cb6d097;market for fuel cell, solid oxide, 125kW electrical, future;fuel cell, solid oxide, 125kW electrical, future;unit;1483.5891884062844;0.0767207691645126;0.0004876950670684;0.5067866426911406;396847.1479056841;;;;
RoW;SSP1-PkBudg500-2040;329bb09fce32474293e1feea0e5945e2;market for wheat bran;wheat bran;kilogram;0.0007223451973844;4.273623374516327e-09;1.5320776476261156e-08;1.2636912336411702e-06;0.0192270129824801;;;;
GLO;SSP1-PkBudg500-2040;fa8ac30a840f2293cc0efe8ba527a637;market for tanker, for petroleum;tanker, for petroleum;unit;118181.3669598266;0.5585331534513607;0.0941816532196873;152.1594179498571;2414708.0867664022;;;;
GLO;SSP1-PkBudg500-2040;19a480d38bf01436495ae2ed74d78fc9;market for inductor, ring core choke type;inductor, ring core choke type;kilogram;0.8807799416936528;1.62262449055341e-06;6.991864462249142e-08;4.912179856142295e-05;1.4619341408676945;;;;
GLO;SSP1-PkBudg500-2040;e00cbb03fdc5efbd82cb393eb7edeecf;market for cobalt;cobalt;kilogram;0.4771381226765735;7.91752883899575e-06;2.613660331251764e-07;0.000283587954597;7.615353343444783;;;;
