CPC;EcoSpold01Categories;ISIC rev.4 ecoinvent;code;database;location;material_group;name;reference product;unit
"34240: Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.";metals/extraction;2011:Manufacture of basic chemicals;680c75ffbba966f1344cc492eb3bd8ca;SSP5-Base-2040;GLO;aluminium;market for aluminium fluoride;aluminium fluoride;kilogram
12020: Natural gas, liquefied or in the gaseous state;;"3520:Manufacture of gas; distribution of gaseous fuels through mains";4493d6ebe7d2b80501f30fb24074e0d3;SSP5-Base-2040;SE;natural gas;market for natural gas, high pressure;natural gas, high pressure;cubic meter
12020: Natural gas, liquefied or in the gaseous state;;"3520:Manufacture of gas; distribution of gaseous fuels through mains";777a16143a0c4da3bf7cdda2f84accaa;SSP5-Base-2040;CHA;natural gas;market for natural gas, high pressure;natural gas, high pressure;cubic meter
39363: Waste and scrap of aluminium;metals/extraction;3830:Materials recovery;565119862217b3bf2c19acf4c2fd416a;SSP5-Base-2040;GLO;aluminium;market for aluminium scrap, post-consumer, prepared for melting;aluminium scrap, post-consumer, prepared for melting;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;6a8f064eb1a3459a8de511f17b3b3772;SSP5-Base-2040;CHA;cement;market for cement, ZN/D, new alternative constituents 36-50%, in conformity with SIA 2049;cement, ZN/D, new alternative constituents 36-50%, in conformity with SIA 2049;kilogram
374: Plaster, lime and cement;;2394:Manufacture of cement, lime and plaster;12904fe9a44d4dad8cf838277d6e38c5;SSP5-Base-2040;LAM;cement;market for cement, CEM II/B;cement, CEM II/B;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;13cd530a1b7903a25d41f4e1e701ba82;SSP5-Base-2040;ZA;cement;market for cement, CEM II/A-S;cement, CEM II/A-S;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;5f39d0f6f61b3343206ebe001f8fbfa5;SSP5-Base-2040;Europe without Switzerland;cement;market for cement, CEM III/A;cement, CEM III/A;kilogram
35499: Other chemical products n.e.c.;;2029:Manufacture of other chemical products n.e.c.;22bc62ad4c508d725cc008d15e20256b;SSP5-Base-2040;RER;indium;market for indium tin oxide powder, nanoscale, for sputtering target;indium tin oxide powder, nanoscale, for sputtering target;kilogram
374: Plaster, lime and cement;;2394:Manufacture of cement, lime and plaster;8e0d8722b8c947d2a4aa465a0176387b;SSP5-Base-2040;CHA;cement;market for cement, type general use;cement, type general use;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;31f118c70a5c4257b481b40f7a439f3e;SSP5-Base-2040;World;cement;market for cement, CEM II/B-V;cement, CEM II/B-V;kilogram
41601: Tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium, beryllium, gallium, hafnium, […];;2420:Manufacture of basic precious and other non-ferrous metals;a95e73c5622370cce548444988aa3b8c;SSP5-Base-2040;US;magnesium;market for magnesium, for reuse in zirconium sponge production;magnesium, for reuse in zirconium sponge production;kilogram
12020: Natural gas, liquefied or in the gaseous state;;"3520:Manufacture of gas; distribution of gaseous fuels through mains";6058937a9068fbcffaf6ad7f5a15e9bc;SSP5-Base-2040;RoE;natural gas;market for natural gas, high pressure;natural gas, high pressure;cubic meter
37: Glass and glass products and other non-metallic products n.e.c.;;2394:Manufacture of cement, lime and plaster;6440efa68a78bad788daef5c273cf73e;SSP5-Base-2040;IN;cement;market for cement mortar;cement mortar;kilogram
374: Plaster, lime and cement;;2394:Manufacture of cement, lime and plaster;f0249436d2814ce4bbc21e224ca907f2;SSP5-Base-2040;IND;cement;market for cement, CEM II/B;cement, CEM II/B;kilogram
"33620: Uranium enriched in U235 and its compounds; plutonium and its compounds; alloys, dispersions, ceramic products[…]";nuclear power/production;2011:Manufacture of basic chemicals;c52fc2a091f9166dbee48011e246c3c4;SSP5-Base-2040;GLO;uranium;market for uranium, enriched 3.9%, in fuel element for light water reactor;uranium, enriched 3.9%, in fuel element for light water reactor;kilogram
374: Plaster, lime and cement;;2394:Manufacture of cement, lime and plaster;d811c8fc4d30447faf2a90e1f21e7426;SSP5-Base-2040;NEU;cement;market for cement, CEM II/A;cement, CEM II/A;kilogram
11010: Hard coal;hard coal/fuels;0510:Mining of hard coal;e66643df85bd4e5955bbcaef947b4881;SSP5-Base-2040;AU;coal(black);market for hard coal;hard coal;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;c273e7f83a3d4b4dbea081a404938bff;SSP5-Base-2040;IND;cement;market for cement, Portland;cement, Portland;kilogram
12020: Natural gas, liquefied or in the gaseous state;;"3520:Manufacture of gas; distribution of gaseous fuels through mains";ed3240924cd84a2692fc36b8a7c435ef;SSP5-Base-2040;USA;natural gas;market for natural gas, high pressure, 40-year period;natural gas, high pressure;cubic meter
374: Plaster, lime and cement;;2394:Manufacture of cement, lime and plaster;b81804a9af50460ea8a00f6105c35b94;SSP5-Base-2040;LAM;cement;market for cement, CEM II/A;cement, CEM II/A;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;50398071512e169791e8e67a24170dc8;SSP5-Base-2040;PE;cement;market for cement, Portland;cement, Portland;kilogram
374: Plaster, lime and cement;;2394:Manufacture of cement, lime and plaster;ce9c73d41fe6b1646b49bb5e24dae619;SSP5-Base-2040;RoW;cement;market for cement, CEM II/A;cement, CEM II/A;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;eb00fc3e7d574c26a497480c4e29af4e;SSP5-Base-2040;CHA;cement;market for cement, CP III;cement, CP III;kilogram
