activity type;database;name;production amount;code;unit;reference product;location;ISIC_num;ISIC_name;CPC_num;CPC_name;prod_category;prod_sub_category
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for polyvinylidenchloride, granulate;;211b60ae9a5935c893398ff31d5de84e;kilogram;polyvinylidenchloride, granulate;RoW;20130;Manufacture of plastics and synthetic rubber in primary forms;34730;Polymers of vinyl chloride or other halogenated olefins, in primary forms;PlastRub;Plastics & rubber products
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for diethyl ether, without water, in 99.95% solution state;;f3ee31a9ae0b31caa8f4bdb3c0e410ed;kilogram;diethyl ether, without water, in 99.95% solution state;RoW;20110;Manufacture of basic chemicals;34170;Ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, and their halogenated, sulphona[…];Chemical;Chemical products
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for argon, liquid;;332b08ae55f82bc8af3367ada48e4b8d;kilogram;argon, liquid;RoW;20110;Manufacture of basic chemicals;34210;"Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.";Chemical;Chemical products
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for trichloroacetic acid;;ab76df4845d8b838daf0933e3bca8885;kilogram;trichloroacetic acid;RoW;20110;Manufacture of basic chemicals;34120;"Industrial monocarboxylic fatty acids; acid oils from refining";Chemical;Chemical products
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for polystyrene foam slab, 10% recycled;;a2694f60fef1087b50a2caa4fb1c602d;kilogram;polystyrene foam slab, 10% recycled;GLO;22200;Manufacture of plastics products;36300;Semi-manufactures of plastics;PlastRub;Plastics & rubber products
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for methanol, from biomass;;33d83f3af6c8af9aaf66010f0e2f239b;kilogram;methanol, from biomass;RoW;20110;Manufacture of basic chemicals;34139;Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…];Chemical;Chemical products
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for 2-butanol;;cf67afad8b0a055ef36b0f0e2a41eb09;kilogram;2-butanol;RoW;20110;Manufacture of basic chemicals;34139;Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…];Chemical;Chemical products
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for hexamethylene-1,6-diisoncyanate;;ec1b439ff6529752270913f9a7b804da;kilogram;hexamethylene-1,6-diisoncyanate;RoW;20110;Manufacture of basic chemicals;34150;"Amine-function compounds; oxygen-function amino-compounds, except lysine and its esters and salts thereof and […]";Chemical;Chemical products
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for triazine-compound, unspecified;;73e1b4ce1572de4b35551919d32f86b1;kilogram;triazine-compound, unspecified;GLO;20210;Manufacture of pesticides and other agrochemical products;34663;Herbicides, anti-sprouting products and plant-growth regulators;Chemical;Chemical products
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for ethane;;38bbfade3be4cc098b4ff32fc4984b34;kilogram;ethane;GLO;20110;Manufacture of basic chemicals;34000;Basic chemicals;Chemical;Chemical products
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for alkyd paint, white, without water, in 60% solution state;;bfe0be72ba99530828042b5ccd7d26a9;kilogram;alkyd paint, white, without water, in 60% solution state;RoW;20220;Manufacture of paints, varnishes and similar coatings, printing ink and mas;35110;Paints and varnishes and related products;Chemical;Chemical products
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for sodium silicate, without water, in 48% solution state;;12f157a7ed92bccbca7027320cc7b543;kilogram;sodium silicate, without water, in 48% solution state;RoW;20110;Manufacture of basic chemicals;34270;"Cyanides, cyanide oxides and complex cyanides; fulminates, cyanates and thiocyanates; silicates; borates; perb[…]";Chemical;Chemical products
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for kraft paper;;904cdb1c0ae5f3899f71a12623983440;kilogram;kraft paper;RoW;17010;Manufacture of pulp, paper and paperboard;32133;"Other uncoated kraft paper and paperboard; sack kraft paper, creped or crinkled";ProcBio;Pulp & paper
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for horn meal;;5237d7457f053de443e9eeb238345177;kilogram;horn meal;GLO;10100;Processing and preserving of meat;39110;Raw offal, inedible (including pigs' bristles, horse hair, animal guts, bird skins, feathers, bones and ivory);AgriForeAnim;Agricultural & forestry products
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for containerboard, linerboard;;125956b325ebd0216cd54ca18eb694f7;kilogram;containerboard, linerboard;RoW;17020;Manufacture of corrugated paper and paperboard and of containers of paper a;32151;Corrugated paper and paperboard;ProcBio;Pulp & paper
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for hydrogen, liquid;;957c7cd32850cbf34c485588bb417f6c;kilogram;hydrogen, liquid;RoW;19200;Manufacture of refined petroleum products;34210;"Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.";Chemical;Chemical products
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for diesel, low-sulfur, 20-year period;;0c1c92e576a24206a067e812b7fa7c49;kilogram;diesel, low-sulfur;World;19200;Manufacture of refined petroleum products;33360;Gas oil;OreMinFuel;Ores, minerals & fuels
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for base oil;;a21a8797c3530c968b313a6656c9481f;kilogram;base oil;GLO;19200;Manufacture of refined petroleum products;33380;Lubricants;OreMinFuel;Ores, minerals & fuels
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for fish curing, small fish;;014aae25ca4fdcd037521185be8b4f32;kilogram;fish curing, small fish;GLO;10200;Processing and preserving of fish, crustaceans and molluscs;21242;Fish, otherwise prepared or preserved;ProcBio;Food & beverages, animal feed
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for fish block, hake;;e4c1035464dcd484321273848ce82d54;kilogram;fish block, hake;GLO;3110;Marine fishing;21221;Fish fillets and fish meat (whether or not minced), fresh or chilled;ProcBio;Food & beverages, animal feed
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for chloridazon;;60391cd11307b0ca5082770ce0baec14;kilogram;chloridazon;GLO;20110;Manufacture of basic chemicals;34663;Herbicides, anti-sprouting products and plant-growth regulators;Chemical;Chemical products
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for oxalic acid;;cca06f330b2f0002b29e399f586471ef;kilogram;oxalic acid;GLO;20110;Manufacture of basic chemicals;34140;Carboxylic acids and their anhydrides, halides, peroxides and peroxyacids and their halogenated, sulphonated, […];Chemical;Chemical products
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for lightweight concrete block, expanded perlite;;9e8b20a3718220690fb65a3b2ce93625;kilogram;lightweight concrete block, expanded perlite;RoW;23990;Manufacture of other non-metallic mineral products n.e.c.;37900;Other non-metallic mineral products n.e.c.;GlasNonMetal;Glass & other non-metallic products
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for strawberry;;dcfeaad24e98eec4ad5ad52cb00e2c24;kilogram;strawberry;GLO;1250;Growing of other tree and bush fruits and nuts;1354;Strawberries;AgriForeAnim;Agricultural & forestry products
